user_id,username,total_likes_received,total_comments_received,total_photo_tags,,,,,
23,Eveline95,420,658,24,,username,Sum of total_likes_received,Sum of total_comments_received,Sum of total_photo_tags
88,Clint27,361,598,26,,Adelle96,179,284,15
59,Cesar93,338,616,16,,Aiyana_Hoeger,28,70,5
86,Delfina_VonRueden68,285,546,17,,Alek_Watsica,96,162,5
58,Aurelie71,280,484,20,,Alexandro35,181,296,7
29,Jaime53,271,458,15,,Alysa22,73,110,6
77,Donald.Fritsch,218,348,15,,Andre_Purdy85,127,238,13
52,Zack_Kemmer93,182,302,7,,Aniya_Hackett,0,0,0
13,Alexandro35,181,296,7,,Annalise.McKenzie16,137,252,4
43,Janet.Armstrong,180,308,5,,Aracely.Johnston98,72,122,5
65,Adelle96,179,284,15,,Arely_Bogan63,106,154,2
78,Colten.Harris76,177,286,9,,Aurelie71,280,484,20
33,Yvette.Gottlieb91,175,282,7,,Bartholome.Bernhard,0,0,0
64,Florence99,175,290,3,,Bethany20,0,0,0
6,Travon.Waters,173,278,8,,Billy52,129,230,4
1,Kenton_Kirlin,168,284,18,,Cesar93,338,616,16
26,Josianne.Friesen,168,282,11,,Clint27,361,598,26
11,Justina.Gaylord27,166,294,12,,Colten.Harris76,177,286,9
51,Mariano_Koch3,163,284,11,,Damon35,40,56,3
72,Kathryn80,157,296,3,,Darby_Herzog,0,0,0
47,Harrison.Beatty50,151,292,6,,Dario77,139,226,5
44,Seth46,146,236,11,,Darwin29,35,58,0
46,Malinda_Streich,145,242,9,,David.Osinski47,0,0,0
12,Dereck65,140,234,2,,Delfina_VonRueden68,285,546,17
32,Irwin.Larson,140,236,9,,Delpha.Kihn,41,48,2
87,Rick29,140,264,10,,Dereck65,140,234,2
28,Dario77,139,226,5,,Donald.Fritsch,218,348,15
8,Tabitha_Schamberger11,137,238,13,,Duane60,0,0,0
16,Annalise.McKenzie16,137,252,4,,Elenor88,135,246,9
63,Elenor88,135,246,9,,Emilio_Bernier52,97,174,3
3,Harley_Lind18,132,234,7,,Erick5,36,58,2
9,Gus93,130,252,11,,Esmeralda.Mraz57,0,0,0
15,Billy52,129,230,4,,Esther.Zulauf61,0,0,0
2,Andre_Purdy85,127,238,13,,Eveline95,420,658,24
17,Norbert_Carroll35,108,166,7,,Florence99,175,290,3
4,Arely_Bogan63,106,154,2,,Franco_Keebler64,0,0,0
10,Presley_McClure,105,180,10,,Frederik_Rice,98,184,5
42,Maya.Farrell,103,174,3,,Gerard79,98,176,10
96,Keenan.Schamberger60,99,196,6,,Granville_Kutch,37,68,4
50,Gerard79,98,176,10,,Gus93,130,252,11
92,Frederik_Rice,98,184,5,,Hailee26,69,112,7
67,Emilio_Bernier52,97,174,3,,Harley_Lind18,132,234,7
99,Alek_Watsica,96,162,5,,Harrison.Beatty50,151,292,6
100,Javonte83,77,106,3,,Hulda.Macejkovic,0,0,0
84,Alysa22,73,110,6,,Imani_Nicolas17,34,48,0
82,Aracely.Johnston98,72,122,5,,Irwin.Larson,140,236,9
62,Ressie_Stanton46,70,124,5,,Jaclyn81,0,0,0
19,Hailee26,69,112,7,,Jaime53,271,458,15
35,Lennie_Hartmann40,69,106,0,,Janelle.Nikolaus81,0,0,0
93,Willie_Leuschke,68,114,5,,Janet.Armstrong,180,308,5
30,Kaley9,65,118,9,,Javonte83,77,106,3
85,Milford_Gleichner42,64,102,4,,Jaylan.Lakin,38,70,0
95,Nicole71,64,110,0,,Jayson65,38,56,1
60,Sam52,63,116,2,,Jessyca_West,0,0,0
38,Jordyn.Jacobson2,62,120,4,,Jordyn.Jacobson2,62,120,4
97,Tomas.Beatty93,59,94,4,,Josianne.Friesen,168,282,11
20,Delpha.Kihn,41,48,2,,Julien_Schmidt,0,0,0
55,Meggie_Doyle,41,68,1,,Justina.Gaylord27,166,294,12
94,Damon35,40,56,3,,Kaley9,65,118,9
22,Kenneth64,39,62,1,,Karley_Bosco,36,64,3
37,Yazmin_Mills95,39,52,3,,Kasandra_Homenick,0,0,0
39,Kelsi26,39,54,1,,Katarina.Dibbert,29,60,2
61,Jayson65,38,56,1,,Kathryn80,157,296,3
73,Jaylan.Lakin,38,70,0,,Keenan.Schamberger60,99,196,6
48,Granville_Kutch,37,68,4,,Kelsi26,39,54,1
18,Odessa2,36,62,1,,Kenneth64,39,62,1
69,Karley_Bosco,36,64,3,,Kenton_Kirlin,168,284,18
70,Erick5,36,58,2,,Lennie_Hartmann40,69,106,0
27,Darwin29,35,58,0,,Leslie67,0,0,0
98,Imani_Nicolas17,34,48,0,,Linnea59,0,0,0
40,Rafael.Hickle2,33,52,4,,Malinda_Streich,145,242,9
56,Peter.Stehr0,33,56,1,,Mariano_Koch3,163,284,11
79,Katarina.Dibbert,29,60,2,,Maxwell.Halvorson,0,0,0
31,Aiyana_Hoeger,28,70,5,,Maya.Farrell,103,174,3
5,Aniya_Hackett,0,0,0,,Mckenna17,0,0,0
7,Kasandra_Homenick,0,0,0,,Meggie_Doyle,41,68,1
14,Jaclyn81,0,0,0,,Mike.Auer39,0,0,0
21,Rocio33,0,0,0,,Milford_Gleichner42,64,102,4
24,Maxwell.Halvorson,0,0,0,,Morgan.Kassulke,0,0,0
25,Tierra.Trantow,0,0,0,,Nia_Haag,0,0,0
34,Pearl7,0,0,0,,Nicole71,64,110,0
36,Ollie_Ledner37,0,0,0,,Norbert_Carroll35,108,166,7
41,Mckenna17,0,0,0,,Odessa2,36,62,1
45,David.Osinski47,0,0,0,,Ollie_Ledner37,0,0,0
49,Morgan.Kassulke,0,0,0,,Pearl7,0,0,0
53,Linnea59,0,0,0,,Peter.Stehr0,33,56,1
54,Duane60,0,0,0,,Presley_McClure,105,180,10
57,Julien_Schmidt,0,0,0,,Rafael.Hickle2,33,52,4
66,Mike.Auer39,0,0,0,,Ressie_Stanton46,70,124,5
68,Franco_Keebler64,0,0,0,,Rick29,140,264,10
71,Nia_Haag,0,0,0,,Rocio33,0,0,0
74,Hulda.Macejkovic,0,0,0,,Sam52,63,116,2
75,Leslie67,0,0,0,,Seth46,146,236,11
76,Janelle.Nikolaus81,0,0,0,,Tabitha_Schamberger11,137,238,13
80,Darby_Herzog,0,0,0,,Tierra.Trantow,0,0,0
81,Esther.Zulauf61,0,0,0,,Tomas.Beatty93,59,94,4
83,Bartholome.Bernhard,0,0,0,,Travon.Waters,173,278,8
89,Jessyca_West,0,0,0,,Willie_Leuschke,68,114,5
90,Esmeralda.Mraz57,0,0,0,,Yazmin_Mills95,39,52,3
91,Bethany20,0,0,0,,Yvette.Gottlieb91,175,282,7
101,Kenton_Kirlin,0,0,0,,Zack_Kemmer93,182,302,7
102,Andre_Purdy85,0,0,0,,Grand Total,8782,14976,501
103,Harley_Lind18,0,0,0,,,,,
104,Arely_Bogan63,0,0,0,,,,,
105,Aniya_Hackett,0,0,0,,,,,
106,Travon.Waters,0,0,0,,,,,
107,Kasandra_Homenick,0,0,0,,,,,
108,Tabitha_Schamberger11,0,0,0,,,,,
109,Gus93,0,0,0,,,,,
110,Presley_McClure,0,0,0,,,,,
111,Justina.Gaylord27,0,0,0,,,,,
112,Dereck65,0,0,0,,,,,
113,Alexandro35,0,0,0,,,,,
114,Jaclyn81,0,0,0,,,,,
115,Billy52,0,0,0,,,,,
116,Annalise.McKenzie16,0,0,0,,,,,
117,Norbert_Carroll35,0,0,0,,,,,
118,Odessa2,0,0,0,,,,,
119,Hailee26,0,0,0,,,,,
120,Delpha.Kihn,0,0,0,,,,,
121,Rocio33,0,0,0,,,,,
122,Kenneth64,0,0,0,,,,,
123,Eveline95,0,0,0,,,,,
124,Maxwell.Halvorson,0,0,0,,,,,
125,Tierra.Trantow,0,0,0,,,,,
126,Josianne.Friesen,0,0,0,,,,,
127,Darwin29,0,0,0,,,,,
128,Dario77,0,0,0,,,,,
129,Jaime53,0,0,0,,,,,
130,Kaley9,0,0,0,,,,,
131,Aiyana_Hoeger,0,0,0,,,,,
132,Irwin.Larson,0,0,0,,,,,
133,Yvette.Gottlieb91,0,0,0,,,,,
134,Pearl7,0,0,0,,,,,
135,Lennie_Hartmann40,0,0,0,,,,,
136,Ollie_Ledner37,0,0,0,,,,,
137,Yazmin_Mills95,0,0,0,,,,,
138,Jordyn.Jacobson2,0,0,0,,,,,
139,Kelsi26,0,0,0,,,,,
