user_id,username,total_likes,total_comments,total_engagement,engagement_rank
5,Aniya_Hackett,257,514,771,1
14,Jaclyn81,257,514,771,1
21,Rocio33,257,514,771,1
24,Maxwell.Halvorson,257,514,771,1
36,Ollie_Ledner37,257,514,771,1
41,Mckenna17,257,514,771,1
54,Duane60,257,514,771,1
57,Julien_Schmidt,257,514,771,1
66,Mike.Auer39,257,514,771,1
71,Nia_Haag,257,514,771,1
75,Leslie67,257,514,771,1
76,Janelle.Nikolaus81,257,514,771,1
91,Bethany20,257,514,771,1
96,Keenan.Schamberger60,98,150,248,14
17,Norbert_Carroll35,78,166,244,15
63,Elenor88,83,160,243,16
87,Rick29,92,148,240,17
15,Billy52,84,154,238,18
67,Emilio_Bernier52,86,152,238,18
69,Karley_Bosco,97,138,235,20
26,Josianne.Friesen,94,138,232,21
43,Janet.Armstrong,86,144,230,22
60,Sam52,86,144,230,22
84,Alysa22,75,152,227,24
2,Andre_Purdy85,94,132,226,25
35,Lennie_Hartmann40,92,134,226,25
70,Erick5,88,138,226,25
22,Kenneth64,91,134,225,28
46,Malinda_Streich,88,136,224,29
39,Kelsi26,89,134,223,30
95,Nicole71,86,136,222,31
100,Javonte83,82,140,222,31
4,Arely_Bogan63,93,128,221,33
20,Delpha.Kihn,87,134,221,33
40,Rafael.Hickle2,85,136,221,33
31,Aiyana_Hoeger,88,132,220,36
94,Damon35,84,136,220,36
50,Gerard79,81,138,219,38
82,Aracely.Johnston98,84,134,218,39
56,Peter.Stehr0,81,136,217,40
93,Willie_Leuschke,91,126,217,40
65,Adelle96,96,120,216,42
3,Harley_Lind18,79,134,213,43
10,Presley_McClure,87,126,213,43
12,Dereck65,77,136,213,43
27,Darwin29,79,134,213,43
72,Kathryn80,85,128,213,43
92,Frederik_Rice,91,122,213,43
73,Jaylan.Lakin,86,126,212,49
30,Kaley9,81,130,211,50
79,Katarina.Dibbert,75,136,211,50
19,Hailee26,90,120,210,52
37,Yazmin_Mills95,84,126,210,52
55,Meggie_Doyle,78,132,210,52
99,Alek_Watsica,74,136,210,52
13,Alexandro35,93,116,209,56
16,Annalise.McKenzie16,103,104,207,57
6,Travon.Waters,82,124,206,58
44,Seth46,86,120,206,58
9,Gus93,85,120,205,60
97,Tomas.Beatty93,69,136,205,60
62,Ressie_Stanton46,88,116,204,62
98,Imani_Nicolas17,74,130,204,62
32,Irwin.Larson,91,112,203,64
78,Colten.Harris76,83,120,203,64
8,Tabitha_Schamberger11,79,122,201,66
38,Jordyn.Jacobson2,85,116,201,66
85,Milford_Gleichner42,87,114,201,66
33,Yvette.Gottlieb91,77,122,199,69
61,Jayson65,83,116,199,69
52,Zack_Kemmer93,85,112,197,71
28,Dario77,77,118,195,72
42,Maya.Farrell,87,108,195,72
47,Harrison.Beatty50,76,118,194,74
18,Odessa2,82,106,188,75
11,Justina.Gaylord27,89,98,187,76
48,Granville_Kutch,75,110,185,77
1,Kenton_Kirlin,0,0,0,78
7,Kasandra_Homenick,0,0,0,78
23,Eveline95,0,0,0,78
25,Tierra.Trantow,0,0,0,78
29,Jaime53,0,0,0,78
34,Pearl7,0,0,0,78
45,David.Osinski47,0,0,0,78
49,Morgan.Kassulke,0,0,0,78
51,Mariano_Koch3,0,0,0,78
53,Linnea59,0,0,0,78
58,Aurelie71,0,0,0,78
59,Cesar93,0,0,0,78
64,Florence99,0,0,0,78
68,Franco_Keebler64,0,0,0,78
74,Hulda.Macejkovic,0,0,0,78
77,Donald.Fritsch,0,0,0,78
80,Darby_Herzog,0,0,0,78
81,Esther.Zulauf61,0,0,0,78
83,Bartholome.Bernhard,0,0,0,78
86,Delfina_VonRueden68,0,0,0,78
88,Clint27,0,0,0,78
89,Jessyca_West,0,0,0,78
90,Esmeralda.Mraz57,0,0,0,78
101,Kenton_Kirlin,0,0,0,78
102,Andre_Purdy85,0,0,0,78
103,Harley_Lind18,0,0,0,78
104,Arely_Bogan63,0,0,0,78
105,Aniya_Hackett,0,0,0,78
106,Travon.Waters,0,0,0,78
107,Kasandra_Homenick,0,0,0,78
108,Tabitha_Schamberger11,0,0,0,78
109,Gus93,0,0,0,78
110,Presley_McClure,0,0,0,78
111,Justina.Gaylord27,0,0,0,78
112,Dereck65,0,0,0,78
113,Alexandro35,0,0,0,78
114,Jaclyn81,0,0,0,78
115,Billy52,0,0,0,78
116,Annalise.McKenzie16,0,0,0,78
117,Norbert_Carroll35,0,0,0,78
118,Odessa2,0,0,0,78
119,Hailee26,0,0,0,78
120,Delpha.Kihn,0,0,0,78
121,Rocio33,0,0,0,78
122,Kenneth64,0,0,0,78
123,Eveline95,0,0,0,78
124,Maxwell.Halvorson,0,0,0,78
125,Tierra.Trantow,0,0,0,78
