user_id,username,total_posts,total_likes,total_comments,,,,,,,,,,
1,Kenton_Kirlin,10,0,0,,,,,,,Row Labels,Sum of total_posts,Sum of total_likes,Sum of total_comments
2,Andre_Purdy85,8,94,132,,username,num_comments,num_posts,num_likes,,Adelle96,10,96,120
3,Harley_Lind18,8,79,134,,Adelle96,120,10,96,,Aiyana_Hoeger,2,88,132
4,Arely_Bogan63,6,93,128,,Aiyana_Hoeger,132,2,88,,Alek_Watsica,6,74,136
5,Aniya_Hackett,0,257,514,,Alek_Watsica,136,6,74,,Alexandro35,10,93,116
6,Travon.Waters,10,82,124,,Alexandro35,116,10,93,,Alysa22,4,75,152
7,Kasandra_Homenick,0,0,0,,Alysa22,152,4,75,,Andre_Purdy85,8,94,132
8,Tabitha_Schamberger11,8,79,122,,Andre_Purdy85,132,8,94,,Aniya_Hackett,0,257,514
9,Gus93,8,85,120,,Aniya_Hackett,514,0,257,,Annalise.McKenzie16,8,103,104
10,Presley_McClure,6,87,126,,Annalise.McKenzie16,104,8,103,,Aracely.Johnston98,4,84,134
11,Justina.Gaylord27,10,89,98,,Aracely.Johnston98,134,4,84,,Arely_Bogan63,6,93,128
12,Dereck65,8,77,136,,Arely_Bogan63,128,6,93,,Aurelie71,16,0,0
13,Alexandro35,10,93,116,,Aurelie71,0,16,0,,Bartholome.Bernhard,0,0,0
14,Jaclyn81,0,257,514,,Bartholome.Bernhard,0,0,0,,Bethany20,0,257,514
15,Billy52,8,84,154,,Bethany20,514,0,257,,Billy52,8,84,154
16,Annalise.McKenzie16,8,103,104,,Billy52,154,8,84,,Cesar93,20,0,0
17,Norbert_Carroll35,6,78,166,,Cesar93,0,20,0,,Clint27,22,0,0
18,Odessa2,2,82,106,,Clint27,0,22,0,,Colten.Harris76,10,83,120
19,Hailee26,4,90,120,,Colten.Harris76,120,10,83,,Damon35,2,84,136
20,Delpha.Kihn,2,87,134,,Damon35,136,2,84,,Darby_Herzog,0,0,0
21,Rocio33,0,257,514,,Darby_Herzog,0,0,0,,Dario77,8,77,118
22,Kenneth64,2,91,134,,Dario77,118,8,77,,Darwin29,2,79,134
23,Eveline95,24,0,0,,Darwin29,134,2,79,,David.Osinski47,0,0,0
24,Maxwell.Halvorson,0,257,514,,David.Osinski47,0,0,0,,Delfina_VonRueden68,18,0,0
25,Tierra.Trantow,0,0,0,,Delfina_VonRueden68,0,18,0,,Delpha.Kihn,2,87,134
26,Josianne.Friesen,10,94,138,,Delpha.Kihn,134,2,87,,Dereck65,8,77,136
27,Darwin29,2,79,134,,Dereck65,136,8,77,,Donald.Fritsch,12,0,0
28,Dario77,8,77,118,,Donald.Fritsch,0,12,0,,Duane60,0,257,514
29,Jaime53,16,0,0,,Duane60,514,0,257,,Elenor88,8,83,160
30,Kaley9,4,81,130,,Elenor88,160,8,83,,Emilio_Bernier52,6,86,152
31,Aiyana_Hoeger,2,88,132,,Emilio_Bernier52,152,6,86,,Erick5,2,88,138
32,Irwin.Larson,8,91,112,,Erick5,138,2,88,,Esmeralda.Mraz57,0,0,0
33,Yvette.Gottlieb91,10,77,122,,Esmeralda.Mraz57,0,0,0,,Esther.Zulauf61,0,0,0
34,Pearl7,0,0,0,,Esther.Zulauf61,0,0,0,,Eveline95,24,0,0
35,Lennie_Hartmann40,4,92,134,,Eveline95,0,24,0,,Florence99,10,0,0
36,Ollie_Ledner37,0,257,514,,Florence99,0,10,0,,Franco_Keebler64,0,0,0
37,Yazmin_Mills95,2,84,126,,Franco_Keebler64,0,0,0,,Frederik_Rice,6,91,122
38,Jordyn.Jacobson2,4,85,116,,Frederik_Rice,122,6,91,,Gerard79,6,81,138
39,Kelsi26,2,89,134,,Gerard79,138,6,81,,Granville_Kutch,2,75,110
40,Rafael.Hickle2,2,85,136,,Granville_Kutch,110,2,75,,Gus93,8,85,120
41,Mckenna17,0,257,514,,Gus93,120,8,85,,Hailee26,4,90,120
42,Maya.Farrell,6,87,108,,Hailee26,120,4,90,,Harley_Lind18,8,79,134
43,Janet.Armstrong,10,86,144,,Harley_Lind18,134,8,79,,Harrison.Beatty50,10,76,118
44,Seth46,8,86,120,,Harrison.Beatty50,118,10,76,,Hulda.Macejkovic,0,0,0
45,David.Osinski47,0,0,0,,Hulda.Macejkovic,0,0,0,,Imani_Nicolas17,2,74,130
46,Malinda_Streich,8,88,136,,Imani_Nicolas17,130,2,74,,Irwin.Larson,8,91,112
47,Harrison.Beatty50,10,76,118,,Irwin.Larson,112,8,91,,Jaclyn81,0,257,514
48,Granville_Kutch,2,75,110,,Jaclyn81,514,0,257,,Jaime53,16,0,0
49,Morgan.Kassulke,0,0,0,,Jaime53,0,16,0,,Janelle.Nikolaus81,0,257,514
50,Gerard79,6,81,138,,Janelle.Nikolaus81,514,0,257,,Janet.Armstrong,10,86,144
51,Mariano_Koch3,10,0,0,,Janet.Armstrong,144,10,86,,Javonte83,4,82,140
52,Zack_Kemmer93,10,85,112,,Javonte83,140,4,82,,Jaylan.Lakin,2,86,126
53,Linnea59,0,0,0,,Jaylan.Lakin,126,2,86,,Jayson65,2,83,116
54,Duane60,0,257,514,,Jayson65,116,2,83,,Jessyca_West,0,0,0
55,Meggie_Doyle,2,78,132,,Jessyca_West,0,0,0,,Jordyn.Jacobson2,4,85,116
