UserID,UserName,num_of_likes,num_of_comments,num_of_photos,num_of_phototags,follower_count,followee_count,engagement_rate,engagement_rate_rank,,,,,,,,,,,
7,Kasandra_Homenick,0,0,0,0,0,0,0,1,,,username,Sum of num_of_likes,Sum of num_of_comments,Sum of num_of_photos,Sum of followee_count,Sum of follower_count,Sum of num_of_phototags,Sum of engagement_rate,Sum of engagement_rate_rank
25,Tierra.Trantow,0,0,0,0,0,0,0,1,,,Eveline95,0,0,24,0,0,96,24,10
34,Pearl7,0,0,0,0,0,0,0,1,,,Florence99,0,0,10,0,0,40,10,4
45,David.Osinski47,0,0,0,0,0,0,0,1,,,Tierra.Trantow,0,0,0,0,0,0,0,3
49,Morgan.Kassulke,0,0,0,0,0,0,0,1,,,Pearl7,0,0,0,0,0,0,0,3
53,Linnea59,0,0,0,0,0,0,0,1,,,Aurelie71,0,0,16,0,0,16,16,6
68,Franco_Keebler64,0,0,0,0,0,0,0,1,,,Cesar93,0,0,20,0,0,80,20,8
74,Hulda.Macejkovic,0,0,0,0,0,0,0,1,,,Franco_Keebler64,0,0,0,0,0,0,0,3
80,Darby_Herzog,0,0,0,0,0,0,0,1,,,Darby_Herzog,0,0,0,0,0,0,0,3
81,Esther.Zulauf61,0,0,0,0,0,0,0,1,,,Hulda.Macejkovic,0,0,0,0,0,0,0,3
83,Bartholome.Bernhard,0,0,0,0,0,0,0,1,,,Delfina_VonRueden68,0,0,18,0,0,18,18,7
89,Jessyca_West,0,0,0,0,0,0,0,1,,,Jaime53,0,0,16,0,0,64,16,6
90,Esmeralda.Mraz57,0,0,0,0,0,0,0,1,,,Esmeralda.Mraz57,0,0,0,0,0,0,0,3
101,Kenton_Kirlin,0,0,0,0,0,0,0,1,,,Jessyca_West,0,0,0,0,0,0,0,3
102,Andre_Purdy85,0,0,0,0,0,0,0,1,,,Bartholome.Bernhard,0,0,0,0,0,0,0,3
103,Harley_Lind18,0,0,0,0,0,0,0,1,,,Kasandra_Homenick,0,0,0,0,0,0,0,3
104,Arely_Bogan63,0,0,0,0,0,0,0,1,,,David.Osinski47,0,0,0,0,0,0,0,3
105,Aniya_Hackett,0,0,0,0,0,0,0,1,,,Kenton_Kirlin,0,0,10,0,0,50,10,4
106,Travon.Waters,0,0,0,0,0,0,0,1,,,Esther.Zulauf61,0,0,0,0,0,0,0,3
107,Kasandra_Homenick,0,0,0,0,0,0,0,1,,,Linnea59,0,0,0,0,0,0,0,3
108,Tabitha_Schamberger11,0,0,0,0,0,0,0,1,,,Donald.Fritsch,0,0,12,0,0,0,12,5
109,Gus93,0,0,0,0,0,0,0,1,,,Mariano_Koch3,0,0,10,0,0,30,10,4
