user_id,username,total_likes_received,total_comments_received,total_engagement,engagement_rank,,,,,
23,Eveline95,420,658,1078,1,,Row Labels,Sum of total_likes_received,Sum of total_comments_received,Sum of total_engagement
88,Clint27,361,598,959,2,,Adelle96,179,284,463
59,Cesar93,338,616,954,3,,Aiyana_Hoeger,28,70,98
86,Delfina_VonRueden68,285,546,831,4,,Alek_Watsica,96,162,258
58,Aurelie71,280,484,764,5,,Alexandro35,181,296,477
29,Jaime53,271,458,729,6,,Alysa22,73,110,183
77,Donald.Fritsch,218,348,566,7,,Andre_Purdy85,127,238,365
43,Janet.Armstrong,180,308,488,8,,Aniya_Hackett,0,0,0
52,Zack_Kemmer93,182,302,484,9,,Annalise.McKenzie16,137,252,389
13,Alexandro35,181,296,477,10,,Aracely.Johnston98,72,122,194
64,Florence99,175,290,465,11,,Arely_Bogan63,106,154,260
65,Adelle96,179,284,463,12,,Aurelie71,280,484,764
78,Colten.Harris76,177,286,463,12,,Bartholome.Bernhard,0,0,0
11,Justina.Gaylord27,166,294,460,14,,Bethany20,0,0,0
33,Yvette.Gottlieb91,175,282,457,15,,Billy52,129,230,359
72,Kathryn80,157,296,453,16,,Cesar93,338,616,954
1,Kenton_Kirlin,168,284,452,17,,Clint27,361,598,959
6,Travon.Waters,173,278,451,18,,Colten.Harris76,177,286,463
26,Josianne.Friesen,168,282,450,19,,Damon35,40,56,96
51,Mariano_Koch3,163,284,447,20,,Darby_Herzog,0,0,0
47,Harrison.Beatty50,151,292,443,21,,Dario77,139,226,365
87,Rick29,140,264,404,22,,Darwin29,35,58,93
16,Annalise.McKenzie16,137,252,389,23,,David.Osinski47,0,0,0
46,Malinda_Streich,145,242,387,24,,Delfina_VonRueden68,285,546,831
9,Gus93,130,252,382,25,,Delpha.Kihn,41,48,89
44,Seth46,146,236,382,25,,Dereck65,140,234,374
63,Elenor88,135,246,381,27,,Donald.Fritsch,218,348,566
32,Irwin.Larson,140,236,376,28,,Duane60,0,0,0
8,Tabitha_Schamberger11,137,238,375,29,,Elenor88,135,246,381
12,Dereck65,140,234,374,30,,Emilio_Bernier52,97,174,271
3,Harley_Lind18,132,234,366,31,,Erick5,36,58,94
2,Andre_Purdy85,127,238,365,32,,Esmeralda.Mraz57,0,0,0
28,Dario77,139,226,365,32,,Esther.Zulauf61,0,0,0
15,Billy52,129,230,359,34,,Eveline95,420,658,1078
96,Keenan.Schamberger60,99,196,295,35,,Florence99,175,290,465
10,Presley_McClure,105,180,285,36,,Franco_Keebler64,0,0,0
92,Frederik_Rice,98,184,282,37,,Frederik_Rice,98,184,282
42,Maya.Farrell,103,174,277,38,,Gerard79,98,176,274
17,Norbert_Carroll35,108,166,274,39,,Granville_Kutch,37,68,105
50,Gerard79,98,176,274,39,,Gus93,130,252,382
67,Emilio_Bernier52,97,174,271,41,,Hailee26,69,112,181
4,Arely_Bogan63,106,154,260,42,,Harley_Lind18,132,234,366
99,Alek_Watsica,96,162,258,43,,Harrison.Beatty50,151,292,443
62,Ressie_Stanton46,70,124,194,44,,Hulda.Macejkovic,0,0,0
82,Aracely.Johnston98,72,122,194,44,,Imani_Nicolas17,34,48,82
30,Kaley9,65,118,183,46,,Irwin.Larson,140,236,376
84,Alysa22,73,110,183,46,,Jaclyn81,0,0,0
100,Javonte83,77,106,183,46,,Jaime53,271,458,729
38,Jordyn.Jacobson2,62,120,182,49,,Janelle.Nikolaus81,0,0,0
93,Willie_Leuschke,68,114,182,49,,Janet.Armstrong,180,308,488
19,Hailee26,69,112,181,51,,Javonte83,77,106,183
60,Sam52,63,116,179,52,,Jaylan.Lakin,38,70,108
35,Lennie_Hartmann40,69,106,175,53,,Jayson65,38,56,94
95,Nicole71,64,110,174,54,,Jessyca_West,0,0,0
85,Milford_Gleichner42,64,102,166,55,,Jordyn.Jacobson2,62,120,182
97,Tomas.Beatty93,59,94,153,56,,Josianne.Friesen,168,282,450
55,Meggie_Doyle,41,68,109,57,,Julien_Schmidt,0,0,0
73,Jaylan.Lakin,38,70,108,58,,Justina.Gaylord27,166,294,460
48,Granville_Kutch,37,68,105,59,,Kaley9,65,118,183
22,Kenneth64,39,62,101,60,,Karley_Bosco,36,64,100
69,Karley_Bosco,36,64,100,61,,Kasandra_Homenick,0,0,0
18,Odessa2,36,62,98,62,,Katarina.Dibbert,29,60,89
31,Aiyana_Hoeger,28,70,98,62,,Kathryn80,157,296,453
94,Damon35,40,56,96,64,,Keenan.Schamberger60,99,196,295
61,Jayson65,38,56,94,65,,Kelsi26,39,54,93
70,Erick5,36,58,94,65,,Kenneth64,39,62,101
27,Darwin29,35,58,93,67,,Kenton_Kirlin,168,284,452
39,Kelsi26,39,54,93,67,,Lennie_Hartmann40,69,106,175
37,Yazmin_Mills95,39,52,91,69,,Leslie67,0,0,0
20,Delpha.Kihn,41,48,89,70,,Linnea59,0,0,0
56,Peter.Stehr0,33,56,89,70,,Malinda_Streich,145,242,387
79,Katarina.Dibbert,29,60,89,70,,Mariano_Koch3,163,284,447
40,Rafael.Hickle2,33,52,85,73,,Maxwell.Halvorson,0,0,0
98,Imani_Nicolas17,34,48,82,74,,Maya.Farrell,103,174,277
5,Aniya_Hackett,0,0,0,75,,Mckenna17,0,0,0
7,Kasandra_Homenick,0,0,0,75,,Meggie_Doyle,41,68,109
14,Jaclyn81,0,0,0,75,,Mike.Auer39,0,0,0
21,Rocio33,0,0,0,75,,Milford_Gleichner42,64,102,166
24,Maxwell.Halvorson,0,0,0,75,,Morgan.Kassulke,0,0,0
25,Tierra.Trantow,0,0,0,75,,Nia_Haag,0,0,0
34,Pearl7,0,0,0,75,,Nicole71,64,110,174
36,Ollie_Ledner37,0,0,0,75,,Norbert_Carroll35,108,166,274
41,Mckenna17,0,0,0,75,,Odessa2,36,62,98
45,David.Osinski47,0,0,0,75,,Ollie_Ledner37,0,0,0
49,Morgan.Kassulke,0,0,0,75,,Pearl7,0,0,0
53,Linnea59,0,0,0,75,,Peter.Stehr0,33,56,89
54,Duane60,0,0,0,75,,Presley_McClure,105,180,285
57,Julien_Schmidt,0,0,0,75,,Rafael.Hickle2,33,52,85
66,Mike.Auer39,0,0,0,75,,Ressie_Stanton46,70,124,194
68,Franco_Keebler64,0,0,0,75,,Rick29,140,264,404
71,Nia_Haag,0,0,0,75,,Rocio33,0,0,0
74,Hulda.Macejkovic,0,0,0,75,,Sam52,63,116,179
75,Leslie67,0,0,0,75,,Seth46,146,236,382
76,Janelle.Nikolaus81,0,0,0,75,,Tabitha_Schamberger11,137,238,375
80,Darby_Herzog,0,0,0,75,,Tierra.Trantow,0,0,0
81,Esther.Zulauf61,0,0,0,75,,Tomas.Beatty93,59,94,153
83,Bartholome.Bernhard,0,0,0,75,,Travon.Waters,173,278,451
89,Jessyca_West,0,0,0,75,,Willie_Leuschke,68,114,182
90,Esmeralda.Mraz57,0,0,0,75,,Yazmin_Mills95,39,52,91
91,Bethany20,0,0,0,75,,Yvette.Gottlieb91,175,282,457
101,Kenton_Kirlin,0,0,0,75,,Zack_Kemmer93,182,302,484
102,Andre_Purdy85,0,0,0,75,,Grand Total,8782,14976,23758
103,Harley_Lind18,0,0,0,75,,,,,
104,Arely_Bogan63,0,0,0,75,,,,,
105,Aniya_Hackett,0,0,0,75,,,,,
106,Travon.Waters,0,0,0,75,,,,,
107,Kasandra_Homenick,0,0,0,75,,,,,
108,Tabitha_Schamberger11,0,0,0,75,,,,,
109,Gus93,0,0,0,75,,,,,
110,Presley_McClure,0,0,0,75,,,,,
111,Justina.Gaylord27,0,0,0,75,,,,,
112,Dereck65,0,0,0,75,,,,,
113,Alexandro35,0,0,0,75,,,,,
114,Jaclyn81,0,0,0,75,,,,,
115,Billy52,0,0,0,75,,,,,
116,Annalise.McKenzie16,0,0,0,75,,,,,
117,Norbert_Carroll35,0,0,0,75,,,,,
118,Odessa2,0,0,0,75,,,,,
119,Hailee26,0,0,0,75,,,,,
120,Delpha.Kihn,0,0,0,75,,,,,
121,Rocio33,0,0,0,75,,,,,
122,Kenneth64,0,0,0,75,,,,,
123,Eveline95,0,0,0,75,,,,,
124,Maxwell.Halvorson,0,0,0,75,,,,,
125,Tierra.Trantow,0,0,0,75,,,,,
126,Josianne.Friesen,0,0,0,75,,,,,
127,Darwin29,0,0,0,75,,,,,
128,Dario77,0,0,0,75,,,,,
129,Jaime53,0,0,0,75,,,,,
130,Kaley9,0,0,0,75,,,,,
131,Aiyana_Hoeger,0,0,0,75,,,,,
132,Irwin.Larson,0,0,0,75,,,,,
133,Yvette.Gottlieb91,0,0,0,75,,,,,
134,Pearl7,0,0,0,75,,,,,
135,Lennie_Hartmann40,0,0,0,75,,,,,
136,Ollie_Ledner37,0,0,0,75,,,,,
137,Yazmin_Mills95,0,0,0,75,,,,,
138,Jordyn.Jacobson2,0,0,0,75,,,,,
139,Kelsi26,0,0,0,75,,,,,
140,Rafael.Hickle2,0,0,0,75,,,,,
141,Mckenna17,0,0,0,75,,,,,
142,Maya.Farrell,0,0,0,75,,,,,
143,Janet.Armstrong,0,0,0,75,,,,,
144,Seth46,0,0,0,75,,,,,
145,David.Osinski47,0,0,0,75,,,,,
146,Malinda_Streich,0,0,0,75,,,,,
147,Harrison.Beatty50,0,0,0,75,,,,,
148,Granville_Kutch,0,0,0,75,,,,,
149,Morgan.Kassulke,0,0,0,75,,,,,
150,Gerard79,0,0,0,75,,,,,
151,Mariano_Koch3,0,0,0,75,,,,,
152,Zack_Kemmer93,0,0,0,75,,,,,
153,Linnea59,0,0,0,75,,,,,
154,Duane60,0,0,0,75,,,,,
155,Meggie_Doyle,0,0,0,75,,,,,
156,Peter.Stehr0,0,0,0,75,,,,,
157,Julien_Schmidt,0,0,0,75,,,,,
158,Aurelie71,0,0,0,75,,,,,
159,Cesar93,0,0,0,75,,,,,
160,Sam52,0,0,0,75,,,,,
161,Jayson65,0,0,0,75,,,,,
162,Ressie_Stanton46,0,0,0,75,,,,,
163,Elenor88,0,0,0,75,,,,,
164,Florence99,0,0,0,75,,,,,
165,Adelle96,0,0,0,75,,,,,
166,Mike.Auer39,0,0,0,75,,,,,
167,Emilio_Bernier52,0,0,0,75,,,,,
