id,username,followers_count,followings_count,,,,,
1,Kenton_Kirlin,77,0,,,,,
7,Kasandra_Homenick,77,0,,,Username,Sum of followings_count,Sum of followers_count
23,Eveline95,77,0,,,Adelle96,99,76
25,Tierra.Trantow,77,0,,,Aiyana_Hoeger,99,76
29,Jaime53,77,0,,,Alek_Watsica,99,76
34,Pearl7,77,0,,,Alexandro35,99,76
45,David.Osinski47,77,0,,,Alysa22,99,76
49,Morgan.Kassulke,77,0,,,Andre_Purdy85,99,76
51,Mariano_Koch3,77,0,,,Aniya_Hackett,99,76
53,Linnea59,77,0,,,Annalise.McKenzie16,99,76
58,Aurelie71,77,0,,,Aracely.Johnston98,99,76
59,Cesar93,77,0,,,Arely_Bogan63,99,76
64,Florence99,77,0,,,Aurelie71,0,77
68,Franco_Keebler64,77,0,,,Bartholome.Bernhard,0,77
74,Hulda.Macejkovic,77,0,,,Bethany20,99,76
77,Donald.Fritsch,77,0,,,Billy52,99,76
80,Darby_Herzog,77,0,,,Cesar93,0,77
81,Esther.Zulauf61,77,0,,,Clint27,0,77
83,Bartholome.Bernhard,77,0,,,Colten.Harris76,99,76
86,Delfina_VonRueden68,77,0,,,Damon35,99,76
88,Clint27,77,0,,,Darby_Herzog,0,77
89,Jessyca_West,77,0,,,Dario77,99,76
90,Esmeralda.Mraz57,77,0,,,Darwin29,99,76
2,Andre_Purdy85,76,99,,,David.Osinski47,0,77
3,Harley_Lind18,76,99,,,Delfina_VonRueden68,0,77
4,Arely_Bogan63,76,99,,,Delpha.Kihn,99,76
5,Aniya_Hackett,76,99,,,Dereck65,99,76
6,Travon.Waters,76,99,,,Donald.Fritsch,0,77
8,Tabitha_Schamberger11,76,99,,,Duane60,99,76
9,Gus93,76,99,,,Elenor88,99,76
10,Presley_McClure,76,99,,,Emilio_Bernier52,99,76
11,Justina.Gaylord27,76,99,,,Erick5,99,76
12,Dereck65,76,99,,,Esmeralda.Mraz57,0,77
13,Alexandro35,76,99,,,Esther.Zulauf61,0,77
14,Jaclyn81,76,99,,,Eveline95,0,77
15,Billy52,76,99,,,Florence99,0,77
16,Annalise.McKenzie16,76,99,,,Franco_Keebler64,0,77
17,Norbert_Carroll35,76,99,,,Frederik_Rice,99,76
18,Odessa2,76,99,,,Gerard79,99,76
19,Hailee26,76,99,,,Granville_Kutch,99,76
20,Delpha.Kihn,76,99,,,Gus93,99,76
21,Rocio33,76,99,,,Hailee26,99,76
22,Kenneth64,76,99,,,Harley_Lind18,99,76
24,Maxwell.Halvorson,76,99,,,Harrison.Beatty50,99,76
26,Josianne.Friesen,76,99,,,Hulda.Macejkovic,0,77
27,Darwin29,76,99,,,Imani_Nicolas17,99,76
28,Dario77,76,99,,,Irwin.Larson,99,76
30,Kaley9,76,99,,,Jaclyn81,99,76
31,Aiyana_Hoeger,76,99,,,Jaime53,0,77
32,Irwin.Larson,76,99,,,Janelle.Nikolaus81,99,76
33,Yvette.Gottlieb91,76,99,,,Janet.Armstrong,99,76
35,Lennie_Hartmann40,76,99,,,Javonte83,99,76
36,Ollie_Ledner37,76,99,,,Jaylan.Lakin,99,76
37,Yazmin_Mills95,76,99,,,Jayson65,99,76
38,Jordyn.Jacobson2,76,99,,,Jessyca_West,0,77
39,Kelsi26,76,99,,,Jordyn.Jacobson2,99,76
40,Rafael.Hickle2,76,99,,,Josianne.Friesen,99,76
41,Mckenna17,76,99,,,Julien_Schmidt,99,76
42,Maya.Farrell,76,99,,,Justina.Gaylord27,99,76
43,Janet.Armstrong,76,99,,,Kaley9,99,76
44,Seth46,76,99,,,Karley_Bosco,99,76
46,Malinda_Streich,76,99,,,Kasandra_Homenick,0,77
47,Harrison.Beatty50,76,99,,,Katarina.Dibbert,99,76
48,Granville_Kutch,76,99,,,Kathryn80,99,76
50,Gerard79,76,99,,,Keenan.Schamberger60,99,76
52,Zack_Kemmer93,76,99,,,Kelsi26,99,76
54,Duane60,76,99,,,Kenneth64,99,76
55,Meggie_Doyle,76,99,,,Kenton_Kirlin,0,77
56,Peter.Stehr0,76,99,,,Lennie_Hartmann40,99,76
57,Julien_Schmidt,76,99,,,Leslie67,99,76
60,Sam52,76,99,,,Linnea59,0,77
61,Jayson65,76,99,,,Malinda_Streich,99,76
62,Ressie_Stanton46,76,99,,,Mariano_Koch3,0,77
63,Elenor88,76,99,,,Maxwell.Halvorson,99,76
65,Adelle96,76,99,,,Maya.Farrell,99,76
66,Mike.Auer39,76,99,,,Mckenna17,99,76
67,Emilio_Bernier52,76,99,,,Meggie_Doyle,99,76
69,Karley_Bosco,76,99,,,Mike.Auer39,99,76
70,Erick5,76,99,,,Milford_Gleichner42,99,76
71,Nia_Haag,76,99,,,Morgan.Kassulke,0,77
72,Kathryn80,76,99,,,Nia_Haag,99,76
73,Jaylan.Lakin,76,99,,,Nicole71,99,76
75,Leslie67,76,99,,,Norbert_Carroll35,99,76
