user_id,username,total_likes,total_comments,total_photos_posted,total_followers,engagement_rate,,,,
69,Karley_Bosco,97,69,2,76,83,,Row Labels,Sum of total_followers,Sum of engagement_rate
22,Kenneth64,91,67,2,76,79,,Kenneth64,76,79
70,Erick5,88,69,2,76,78.5,,Karley_Bosco,76,83
39,Kelsi26,89,67,2,76,78,,Rafael.Hickle2,76,76.5
31,Aiyana_Hoeger,88,66,2,76,77,,Damon35,76,76
20,Delpha.Kihn,87,67,2,76,77,,Kelsi26,76,78
40,Rafael.Hickle2,85,68,2,76,76.5,,Delpha.Kihn,76,77
94,Damon35,84,68,2,76,76,,Peter.Stehr0,76,74.5
73,Jaylan.Lakin,86,63,2,76,74.5,,Erick5,76,78.5
56,Peter.Stehr0,81,68,2,76,74.5,,Aiyana_Hoeger,76,77
,,,,,,,,Jaylan.Lakin,76,74.5
,,,,,,,,Grand Total,760,774
