user_id,username,num_posts,num_likes,num_comments,avg_engagement_rate
69,Karley_Bosco,2,97,138,117.5000
70,Erick5,2,88,138,113.0000
22,Kenneth64,2,91,134,112.5000
39,Kelsi26,2,89,134,111.5000
20,Delpha.Kihn,2,87,134,110.5000
40,Rafael.Hickle2,2,85,136,110.5000
31,Aiyana_Hoeger,2,88,132,110.0000
94,Damon35,2,84,136,110.0000
56,Peter.Stehr0,2,81,136,108.5000
27,Darwin29,2,79,134,106.5000
73,Jaylan.Lakin,2,86,126,106.0000
79,Katarina.Dibbert,2,75,136,105.5000
37,Yazmin_Mills95,2,84,126,105.0000
55,Meggie_Doyle,2,78,132,105.0000
98,Imani_Nicolas17,2,74,130,102.0000
61,Jayson65,2,83,116,99.5000
18,Odessa2,2,82,106,94.0000
48,Granville_Kutch,2,75,110,92.5000
60,Sam52,4,86,144,57.5000
84,Alysa22,4,75,152,56.7500
35,Lennie_Hartmann40,4,92,134,56.5000
95,Nicole71,4,86,136,55.5000
100,Javonte83,4,82,140,55.5000
82,Aracely.Johnston98,4,84,134,54.5000
93,Willie_Leuschke,4,91,126,54.2500
30,Kaley9,4,81,130,52.7500
19,Hailee26,4,90,120,52.5000
97,Tomas.Beatty93,4,69,136,51.2500
62,Ressie_Stanton46,4,88,116,51.0000
38,Jordyn.Jacobson2,4,85,116,50.2500
85,Milford_Gleichner42,4,87,114,50.2500
96,Keenan.Schamberger60,6,98,150,41.3333
17,Norbert_Carroll35,6,78,166,40.6667
67,Emilio_Bernier52,6,86,152,39.6667
4,Arely_Bogan63,6,93,128,36.8333
50,Gerard79,6,81,138,36.5000
10,Presley_McClure,6,87,126,35.5000
92,Frederik_Rice,6,91,122,35.5000
99,Alek_Watsica,6,74,136,35.0000
42,Maya.Farrell,6,87,108,32.5000
63,Elenor88,8,83,160,30.3750
87,Rick29,8,92,148,30.0000
15,Billy52,8,84,154,29.7500
2,Andre_Purdy85,8,94,132,28.2500
46,Malinda_Streich,8,88,136,28.0000
3,Harley_Lind18,8,79,134,26.6250
12,Dereck65,8,77,136,26.6250
16,Annalise.McKenzie16,8,103,104,25.8750
44,Seth46,8,86,120,25.7500
9,Gus93,8,85,120,25.6250
32,Irwin.Larson,8,91,112,25.3750
8,Tabitha_Schamberger11,8,79,122,25.1250
28,Dario77,8,77,118,24.3750
26,Josianne.Friesen,10,94,138,23.2000
43,Janet.Armstrong,10,86,144,23.0000
65,Adelle96,10,96,120,21.6000
72,Kathryn80,10,85,128,21.3000
13,Alexandro35,10,93,116,20.9000
6,Travon.Waters,10,82,124,20.6000
78,Colten.Harris76,10,83,120,20.3000
33,Yvette.Gottlieb91,10,77,122,19.9000
52,Zack_Kemmer93,10,85,112,19.7000
47,Harrison.Beatty50,10,76,118,19.4000
11,Justina.Gaylord27,10,89,98,18.7000
1,Kenton_Kirlin,10,0,0,0.0000
5,Aniya_Hackett,0,257,514,0.0000
7,Kasandra_Homenick,0,0,0,0.0000
14,Jaclyn81,0,257,514,0.0000
21,Rocio33,0,257,514,0.0000
23,Eveline95,24,0,0,0.0000
24,Maxwell.Halvorson,0,257,514,0.0000
25,Tierra.Trantow,0,0,0,0.0000
29,Jaime53,16,0,0,0.0000
34,Pearl7,0,0,0,0.0000
36,Ollie_Ledner37,0,257,514,0.0000
41,Mckenna17,0,257,514,0.0000
