id,username,,,,,
1,Kenton_Kirlin,,,,Row Labels,Sum of id
7,Kasandra_Homenick,,,,Adelle96,430
23,Eveline95,,,,Aiyana_Hoeger,362
25,Tierra.Trantow,,,,Alek_Watsica,498
29,Jaime53,,,,Alexandro35,326
34,Pearl7,,,,Alysa22,468
45,David.Osinski47,,,,Andre_Purdy85,304
49,Morgan.Kassulke,,,,Aniya_Hackett,310
51,Mariano_Koch3,,,,Annalise.McKenzie16,332
53,Linnea59,,,,Aracely.Johnston98,464
58,Aurelie71,,,,Arely_Bogan63,308
59,Cesar93,,,,Aurelie71,474
64,Florence99,,,,Bartholome.Bernhard,549
68,Franco_Keebler64,,,,Bethany20,482
74,Hulda.Macejkovic,,,,Billy52,330
77,Donald.Fritsch,,,,Cesar93,477
80,Darby_Herzog,,,,Clint27,564
81,Esther.Zulauf61,,,,Colten.Harris76,456
83,Bartholome.Bernhard,,,,Damon35,488
86,Delfina_VonRueden68,,,,Darby_Herzog,540
88,Clint27,,,,Dario77,356
89,Jessyca_West,,,,Darwin29,354
90,Esmeralda.Mraz57,,,,David.Osinski47,435
101,Kenton_Kirlin,,,,Delfina_VonRueden68,558
102,Andre_Purdy85,,,,Delpha.Kihn,340
103,Harley_Lind18,,,,Dereck65,324
104,Arely_Bogan63,,,,Donald.Fritsch,531
105,Aniya_Hackett,,,,Duane60,408
106,Travon.Waters,,,,Elenor88,426
107,Kasandra_Homenick,,,,Emilio_Bernier52,434
108,Tabitha_Schamberger11,,,,Erick5,440
109,Gus93,,,,Esmeralda.Mraz57,570
110,Presley_McClure,,,,Esther.Zulauf61,543
111,Justina.Gaylord27,,,,Eveline95,369
112,Dereck65,,,,Florence99,492
113,Alexandro35,,,,Franco_Keebler64,504
114,Jaclyn81,,,,Frederik_Rice,484
115,Billy52,,,,Gerard79,400
116,Annalise.McKenzie16,,,,Granville_Kutch,396
117,Norbert_Carroll35,,,,Gus93,318
118,Odessa2,,,,Hailee26,338
119,Hailee26,,,,Harley_Lind18,306
120,Delpha.Kihn,,,,Harrison.Beatty50,394
121,Rocio33,,,,Hulda.Macejkovic,522
122,Kenneth64,,,,Imani_Nicolas17,496
123,Eveline95,,,,Irwin.Larson,364
124,Maxwell.Halvorson,,,,Jaclyn81,328
125,Tierra.Trantow,,,,Jaime53,387
126,Josianne.Friesen,,,,Janelle.Nikolaus81,452
127,Darwin29,,,,Janet.Armstrong,386
128,Dario77,,,,Javonte83,500
129,Jaime53,,,,Jaylan.Lakin,446
130,Kaley9,,,,Jayson65,422
131,Aiyana_Hoeger,,,,Jessyca_West,567
132,Irwin.Larson,,,,Jordyn.Jacobson2,376
133,Yvette.Gottlieb91,,,,Josianne.Friesen,352
134,Pearl7,,,,Julien_Schmidt,414
135,Lennie_Hartmann40,,,,Justina.Gaylord27,322
136,Ollie_Ledner37,,,,Kaley9,360
137,Yazmin_Mills95,,,,Karley_Bosco,438
138,Jordyn.Jacobson2,,,,Kasandra_Homenick,321
139,Kelsi26,,,,Katarina.Dibbert,458
140,Rafael.Hickle2,,,,Kathryn80,444
141,Mckenna17,,,,Keenan.Schamberger60,492
142,Maya.Farrell,,,,Kelsi26,378
143,Janet.Armstrong,,,,Kenneth64,344
144,Seth46,,,,Kenton_Kirlin,303
145,David.Osinski47,,,,Lennie_Hartmann40,370
146,Malinda_Streich,,,,Leslie67,450
147,Harrison.Beatty50,,,,Linnea59,459
148,Granville_Kutch,,,,Malinda_Streich,392
149,Morgan.Kassulke,,,,Mariano_Koch3,453
150,Gerard79,,,,Maxwell.Halvorson,348
151,Mariano_Koch3,,,,Maya.Farrell,384
152,Zack_Kemmer93,,,,Mckenna17,382
153,Linnea59,,,,Meggie_Doyle,410
154,Duane60,,,,Mike.Auer39,432
155,Meggie_Doyle,,,,Milford_Gleichner42,470
156,Peter.Stehr0,,,,Morgan.Kassulke,447
157,Julien_Schmidt,,,,Nia_Haag,442
158,Aurelie71,,,,Nicole71,490
159,Cesar93,,,,Norbert_Carroll35,334
160,Sam52,,,,Odessa2,336
161,Jayson65,,,,Ollie_Ledner37,372
162,Ressie_Stanton46,,,,Pearl7,402
163,Elenor88,,,,Peter.Stehr0,412
164,Florence99,,,,Presley_McClure,320
165,Adelle96,,,,Rafael.Hickle2,380
166,Mike.Auer39,,,,Ressie_Stanton46,424
167,Emilio_Bernier52,,,,Rick29,474
168,Franco_Keebler64,,,,Rocio33,342
169,Karley_Bosco,,,,Sam52,420
170,Erick5,,,,Seth46,388
171,Nia_Haag,,,,Tabitha_Schamberger11,316
172,Kathryn80,,,,Tierra.Trantow,375
173,Jaylan.Lakin,,,,Tomas.Beatty93,494
174,Hulda.Macejkovic,,,,Travon.Waters,312
175,Leslie67,,,,Willie_Leuschke,486
176,Janelle.Nikolaus81,,,,Yazmin_Mills95,374
177,Donald.Fritsch,,,,Yvette.Gottlieb91,366
178,Colten.Harris76,,,,Zack_Kemmer93,404
179,Katarina.Dibbert,,,,Grand Total,41414
180,Darby_Herzog,,,,,
181,Esther.Zulauf61,,,,,
182,Aracely.Johnston98,,,,,
183,Bartholome.Bernhard,,,,,
184,Alysa22,,,,,
185,Milford_Gleichner42,,,,,
186,Delfina_VonRueden68,,,,,
187,Rick29,,,,,
188,Clint27,,,,,
189,Jessyca_West,,,,,
190,Esmeralda.Mraz57,,,,,
191,Bethany20,,,,,
192,Frederik_Rice,,,,,
193,Willie_Leuschke,,,,,
194,Damon35,,,,,
195,Nicole71,,,,,
196,Keenan.Schamberger60,,,,,
197,Tomas.Beatty93,,,,,
198,Imani_Nicolas17,,,,,
199,Alek_Watsica,,,,,
200,Javonte83,,,,,
201,Kenton_Kirlin,,,,,
202,Andre_Purdy85,,,,,
203,Harley_Lind18,,,,,
204,Arely_Bogan63,,,,,
205,Aniya_Hackett,,,,,
206,Travon.Waters,,,,,
207,Kasandra_Homenick,,,,,
208,Tabitha_Schamberger11,,,,,
209,Gus93,,,,,
210,Presley_McClure,,,,,
211,Justina.Gaylord27,,,,,
212,Dereck65,,,,,
213,Alexandro35,,,,,
214,Jaclyn81,,,,,
215,Billy52,,,,,
216,Annalise.McKenzie16,,,,,
217,Norbert_Carroll35,,,,,
218,Odessa2,,,,,
219,Hailee26,,,,,
220,Delpha.Kihn,,,,,
221,Rocio33,,,,,
222,Kenneth64,,,,,
223,Eveline95,,,,,
224,Maxwell.Halvorson,,,,,
225,Tierra.Trantow,,,,,
226,Josianne.Friesen,,,,,
227,Darwin29,,,,,
228,Dario77,,,,,
229,Jaime53,,,,,
230,Kaley9,,,,,
231,Aiyana_Hoeger,,,,,
232,Irwin.Larson,,,,,
233,Yvette.Gottlieb91,,,,,
234,Pearl7,,,,,
235,Lennie_Hartmann40,,,,,
236,Ollie_Ledner37,,,,,
237,Yazmin_Mills95,,,,,
238,Jordyn.Jacobson2,,,,,
239,Kelsi26,,,,,
240,Rafael.Hickle2,,,,,
241,Mckenna17,,,,,
242,Maya.Farrell,,,,,
243,Janet.Armstrong,,,,,
244,Seth46,,,,,
245,David.Osinski47,,,,,
246,Malinda_Streich,,,,,
247,Harrison.Beatty50,,,,,
248,Granville_Kutch,,,,,
249,Morgan.Kassulke,,,,,
250,Gerard79,,,,,
251,Mariano_Koch3,,,,,
252,Zack_Kemmer93,,,,,
253,Linnea59,,,,,
254,Duane60,,,,,
255,Meggie_Doyle,,,,,
256,Peter.Stehr0,,,,,
257,Julien_Schmidt,,,,,
258,Aurelie71,,,,,
259,Cesar93,,,,,
260,Sam52,,,,,
261,Jayson65,,,,,
262,Ressie_Stanton46,,,,,
263,Elenor88,,,,,
264,Florence99,,,,,
265,Adelle96,,,,,
266,Mike.Auer39,,,,,
267,Emilio_Bernier52,,,,,
268,Franco_Keebler64,,,,,
269,Karley_Bosco,,,,,
270,Erick5,,,,,
271,Nia_Haag,,,,,
272,Kathryn80,,,,,
273,Jaylan.Lakin,,,,,
274,Hulda.Macejkovic,,,,,
275,Leslie67,,,,,
276,Janelle.Nikolaus81,,,,,
277,Donald.Fritsch,,,,,
278,Colten.Harris76,,,,,
279,Katarina.Dibbert,,,,,
280,Darby_Herzog,,,,,
281,Esther.Zulauf61,,,,,
282,Aracely.Johnston98,,,,,
283,Bartholome.Bernhard,,,,,
284,Alysa22,,,,,
285,Milford_Gleichner42,,,,,
286,Delfina_VonRueden68,,,,,
287,Rick29,,,,,
288,Clint27,,,,,
289,Jessyca_West,,,,,
290,Esmeralda.Mraz57,,,,,
291,Bethany20,,,,,
292,Frederik_Rice,,,,,
293,Willie_Leuschke,,,,,
294,Damon35,,,,,
295,Nicole71,,,,,
296,Keenan.Schamberger60,,,,,
297,Tomas.Beatty93,,,,,
298,Imani_Nicolas17,,,,,
299,Alek_Watsica,,,,,
300,Javonte83,,,,,
